,Channel_name,Description,Subscribers,Views,Total_videos,Playlist_id
0,Hussein Nasser,"Join me as we discuss various software engineering topics with examples and add fun elements to them. We always try to learn by example here in this educational Youtube channel which we believe is the right way to learn. I love Software engineering (especially the backend) and I strive to be a better software engineer every day. Join me on this journey and let us learn together.  

All opinions, suggestions, and tips I provide in all of this channel's content are my own. Information provided is for educational purposes only. 

Consider becoming a member to support the channel
https://www.youtube.com/channel/UC_ML5xP23TOWKUcc-oAE_Eg/join

Stay awesome!
Hussein Nasser,
http://www.husseinnasser.com
Feel free to shoot me an email h@husseinnasser.com
twitter: @hnasr",256000,13806809,744,UU_ML5xP23TOWKUcc-oAE_Eg
1,Charlie Chang,"My name is Charlie -- I am a 29-year-old entrepreneur based in Southern California. I run multiple businesses ranging from E-commerce to my own real estate brokerage, and I originate mortgages as well. In the past, I've done modeling, photography, and pretty much everything under the sun.

I make videos about personal finance, earning money online, investing, productivity, real estate, and entrepreneurship. I am a huge proponent of self-employment and building up multiple streams of income. If this interests you, please subscribe to my channel to learn more!
",715000,31493085,270,UUTQuKo8v0PaPCvk5aRxc_Yg
2,Keep On Coding,"Coding in a nutshell. Programming tutorials, experiences in the tech industry, and attempting to be funny once in a while.",248000,20908253,135,UUsLo154Krjwhoz8W00N8ItA
3,John Hammond,Follow me on Twitter: https://twitter.com/_johnhammond,421000,23667049,1218,UUVeW9qkBjo3zosnqUbG7CFw
4,Frying Pan,"hi my name is pan and I make vlogs and skits.

I post about whatever I find helpful or entertaining in my life.
I'm currently studying computer science in university and interning as a SWE at a big tech company.

I love good stories and funny content.

new video every 2 weeks and I'm live weekly on twitch:)
",260000,18188080,21,UUfeMEuhdUtxtaUMNSvxq_Xg
5,Aurelius Tjin,"Hey there 👋 On this channel I share tips, tutorials, and useful tools to help you become a productive digital creator!

NEW VIDEO WEEKLY!

SOCIALS:
Instagram and Twitter: @aureliustjin
Website: https://www.AureliusTjin.com

For business inquiries including sponsorships and collaborations, please email:
partnerships@aureliustjin.com

For everything else: aurelius@aureliustjin.com
",248000,9714375,212,UUTs3VX60I6EKrrwdkgrwCGQ
6,Clément Mihailescu,"I'm an Ex-Google Software Engineer, an Ex-Facebook Software Engineer, and the CEO and co-founder of AlgoExpert (algoexpert.io), a website that helps Software Engineers prepare for coding interviews.

After graduating with a degree in Mathematics from the University of Pennsylvania in May 2016, I decided to learn programming and to enroll in Fullstack Academy, an immersive coding bootcamp in New York City. While there, I fell in love with full-stack development and algorithm analysis. Upon completion of the program, I dove deeper into the field of algorithms and aced the Google interviews. The frustration that I felt during my interview prep led me to creating AlgoExpert.

This YouTube channel is the outlet for all my thoughts on tech, entrepreneurship, and random miscellanea!",469000,60962959,234,UUaO6VoaYJv4kS-TQO_M-N_g
7,Bukola,"Hi, welcome to my corner of the internet! I'm Bukola, a tech worker living in NYC. On this channel I share my experience working in tech through my Work Week VLOGS, tips for people looking to break into tech and interesting interviews with people who have unique journeys that led them to tech. I also like to share lessons I've learned about personal finance too! 

► Connect With Me
Business Inquiries: info@bukola.dev
Instagram: @bukola.dev
TikTok: @bukola.dev
Country: USA
",293000,9273534,54,UU-bFgwL_kFKLZA60AiB-CCQ
8,Kevin Powell,"Helping you learn how to make the web, and make it look good while you're at it.

With videos every Tuesday and Thursday, I'll be bringing you How Tos and Tutorials, as well as simple tips and tricks, with a big focus on helping people see how wonderful CSS is!",568000,40442756,501,UUJZv4d5rbIKd4QHMPkcABCw
9,William Lin,"I am tmwilliamlin168, a competitive programmer, a sophomore at MIT into startups, and I make random videos
IOI 2020 Winner
Codeforces Max Rating 2931 (International Grandmaster)
CodeChef Max Rating 2916 (7 stars)

",333000,20815418,118,UUKuDLsO0Wwef53qdHPjbU2Q
10,John Coogan,"Co-founder of http://soylent.com and http://lucy.co

I've been an entrepreneur for nearly a decade across multiple companies. I've done a lot of work in silicon valley, so that's mostly what I talk about. I've raised over 10 rounds of venture capital totaling over $100m in total funding. 

I work mostly in tech-enabled consumer packaged goods, meaning I use software to make the best products possible and then deliver them to the widest possible audience. I'm a big fan of machine learning, python programming, and motion graphics. 

Follow me on Twitter at: https://twitter.com/johncoogan
",189000,14900666,91,UU3_BakzLfadvFrsnClMFWmQ
11,mayuko,"🌸a b o u t 🌸
Mayuko Inoue is a content creator and Software Engineer. After working in Silicon Valley tech companies like Intuit, Patreon, and Netflix for six years as an iOS Engineer, she became a full-time creator in 2020. Her work aims to help people find their way through the tech industry by sharing her own experiences navigating this world through technology, career advice, and lifestyle videos. She is passionate about discussions around mental health, cultural identity, and creating technology with empathy and compassion.

✉️c o n t a c t ✉️
If you'd like to sponsor a video: sponsor@hellomayuko.com
Other business inquiries: business@helloMayuko.com

https://www.hellomayuko.com
",539000,28309742,171,UUEDkO7wshcDZ7UZo17rPkzQ
12,Dorian Develops,"🎓 High School Dropout
💻 Self Taught Developer
🤮 Influencer
🥋 BJJ Purple Belt
🎮 Recovering Video Game Addict
",142000,6988928,222,UUUOMtzQmEmhIAF8G_cha_Xw
13,Nicholas T.,"tech from a computer science student’s perspective

instagram: https://www.instagram.com/itsnicholas.t/
discord: https://discord.gg/tgMdKVBfzU
",124000,10096253,25,UUzSc8bhRKEKe7xEGp-5LWAg
14,James Q Quick,I publish weekly videos about Web Development!  I am constantly learning the latest and greatest in Web Development and am excited to help you do the same.,152000,10355161,395,UU-T8W79DN6PBnzomelvqJYw
15,Coder Coder,Practical tips for the beginner web developer.,356000,9401423,73,UUzNf0liwUzMN6_pixbQlMhQ
16,Aaron Jack / Freemote,"Freemote Bootcamp by Aaron Jack -- 
The Bootcamp that lets you start EARNING as you LEARN TO CODE!

Check out our website & reviews
https://freemote.com
https://www.trustpilot.com/review/freemote.com

Freemote's Social Media (more free content!)
https://instagram.com/freemotebootcamp
https://facebook.com/freemotebootcamp
https://twitter.com/freemote1

Aaron Jack's Social Media
https://instagram.com/aaronjack
https://twitter.com/_aaronjack
",300000,14583912,90,UURLEADhMcb8WUdnQ5_Alk7g
17,maisyleigh,"🕯 my cozy daily life, desk setup & firey creative journeys🔥

Hi! I'm Maisy, and I'm sharing my story of how I live a cozy lifestyle, find peace, and create new things. I'm a visionary, frontend engineer and designer - and I love ideating solutions that facilitate people's everyday lives, sketching them out and bringing them to life.  

I've embarked my content creating journey to share my story, as I navigate life.  I love being able to share my creativity through this platform.

I love composing my own songs on the piano, gardening, playing video games, drinking matcha and coffee, star wars, bowling, hiking, interior designing, ideating & wire framing app ideas, graphic design, and engineering.

Cozy Lifestyle Content, Tech & Desk Setup Inspiration, Design & Code Journeys!
Follow me on IG for more: https://instagram.com/maisyleigh
More info on desk setup & product links: https://liinks.co/maisyleigh

🍃 Wallpapers & Art by https://instagram.com/mysweetchubs🎈

",187000,11886016,80,UU_h-Jl4Zxb7p-sSBTxprs4Q
18,Dennis Ivy,"Sharing what I know about Full Stack Web development with the primary Focus being Python, Django & Javascript at the time. I will be creating Project based tutorials for these Languages/Frameworks/Libraries along with sharing my personal experience.",164000,12142791,163,UUTZRcDjjkVajGL6wd76UnGg
19,Chandoo,"I make videos on Excel, Power BI  & Data Analytics so that you can be awesome at your work.

My vision is to help 1 million people every month.

New videos are uploaded every Tuesday & sometimes on Thursdays too. 
I do a live stream on last Sunday of the month on an advanced topic.

~ I use Excel 365 and Latest version of Power BI in my videos.

Join the fun by subscribing.

💻📗👉 For more advanced training, check out my Excel School program - https://chandoo.org/wp/excel-school-program/
",253000,18882377,371,UU8uU_wruBMHeeRma49dtZKA
20,David Bombal,"Want to learn about IT? Want to get ahead in your career?  Well, this is the right place! 

On this channel, I discuss Linux, Python, Ethical Hacking, Networking, CCNA, Virtualization and other IT related topics.
   
This YouTube channel has new videos every week! Subscribe for technical, detailed, no fluff content.

Are you interested in sponsoring me? Email: sponsor@davidbombal.com 

David’s details:
Discord: https://discord.com/invite/usKSyzb
Twitter: https://www.twitter.com/davidbombal 
Instagram: https://www.instagram.com/davidbombal 
LinkedIn: https://www.linkedin.com/in/davidbombal 
Facebook: https://www.facebook.com/davidbombal.co 
Website: http://www.davidbombal.com  
YouTube: https://www.youtube.com/davidbombal 

All the best!
David",1020000,51204659,1204,UUP7WmQ_U4GB3K51Od9QvM0w
