,Channel_name,Description,Subscribers,Views,Total_videos,Playlist_id
0,studyquill,"hey, i'm jasmine!! i'm a ucla freshie and i post about student life. brew a cup of tea and take a study break with me 💖",1120000,79104350,340,UU-ZQaezPlUTe94-7buWtIfA
1,TabberNoSpaces,,180,14974,7,UU1N6atBsLvbbwMmsm8lwYLA
2,Leila Gharani,"Welcome! It's great to have you here!
I share videos related to Office Productivity. 
My goal is to help you save time so you can spend it on the activities that matter. 
I create videos on:
- Microsoft Excel, PowerPoint, VBA, OneNote, and other Office Products
- Google Sheets 
- Accounting & Finance

I love to learn new tools and techniques and share these with you. I hope to inspire you to experiment and share with others.

My background: MA in economics / Economist / Business Consultant / Accounting Systems Expert / Oracle & SAP implementations (for Finance) / Teacher & Microsoft MVP

Subscribe if you'd like to improve your skills.

New video every Thursday - with frequent bonus videos on Tuesdays. 

Don't forget to get my free top 10 formulas e-book from https://www.xelplus.com/free-ebook/

➹ ➹ My Online Excel Courses ➹ ➹ 

The complete list of my courses: https://www.xelplus.com/courses/

More info & updates from me: pages.xelplus.com/links
",1790000,149411978,452,UUJtUOos_MwJa_Ewii-R3cJA
3,The Art of Improvement,"I make videos on this channel to help you learn how you can better yourself, how to be more productive and how to take care of yourself - basically anything about self-improvement.

If you would like to join the Art of Improvement email list and receive the full illustrations from my videos every two weeks, head over to: https://email.artofimprovement.co.uk/
",790000,43106779,227,UUtYzVCmNxrshH4_bPO_-Y-A
4,PwnFunction,I make Animated Computer Science Videos.,174000,5093925,19,UUW6MNdOsqv2E9AjQkv9we7A
5,AmandaRachLee,"Making my way through life with a pencil in hand and creativity in mind. Subscribe for new videos every week!

Instagram: http://instagram.com/amandarachlee
Twitter: https://twitter.com/amandarachlee
Facebook: https://www.facebook.com/amandarachlee/
TikTok: @amandarachlee
Website: https://www.amandarachlee.com/

Business Inquiries: business@amandarachlee.com

PO BOX:
Amanda Lee
PO Box 152, Toronto B 
Toronto, ON
M5T 2T3",2140000,196779199,460,UUk9aeo2A6a1fg3VeRueTn9w
6,Vincent Chan,"Hi, I'm Vincent! I left Wall Street to help Main Street. My mission is to make finance fun and easy.
",461000,16000839,49,UUPa0bvFsR1mbBpk5mIPFGLA
7,Leon Hendrix,"This channel is for those who want to achieve their most meaningful goals to live without regrets.

🚀 Join our team - we're hiring:
https://collectiveambition.co/

_______________

Business inquiries: contact@collectiveambition.co

📕 Download The 12 Journaling Exercises That Changed My Life:
https://bit.ly/leonsjournal

📸 Follow me on IG (@leonjhendrix)
https://www.instagram.com/leonjhendrix/
",356000,19897834,32,UUTvRcHO5jJ_JKcekLacLMuQ
8,Krish Naik,"I am the cofounder of iNeuron and my experience is pioneering in machine learning, deep learning, and computer vision,an educator, and a mentor, with over 10 years' experience in the industry. This is my YouTube channel where I explain various topics on machine learning, deep learning, and AI with many real-world problem scenarios. I have delivered over 30 tech talks on data science, machine learning, and AI at various meet-ups, technical institutions, and community-arranged forums. My main aim is to make everyone familiar of ML and AI.Please subscribe and support the channel. As i love new technology, all these videos are free and I promise to make more interesting content as we go ahead.
For any collaboration drop me a mail at krishnaik06@gmail.com

Please free to drop a mail for Product unboxing, GPU's unboxing and any other collaboration",611000,57623806,1443,UUNU_lfiiWBdtULKOw6X0Dig
9,Colors of Chloe,"hello 大家好!
i'm chloe and i'm from LA (626 wuddup). went to school at the claremont colleges and columbia university for engineering. i lived in the SF bay area for most of my adulthood, but am now in LA. i share videos about my ordinary home life, working life, and just life life. 

i started off as a career channel, so if you really wanna kno...i previously worked at google, facebook, tiktok, startups, and now at discord ! i work for ceo wungus. ( ͡° ͜ʖ ͡°)

insta: https://www.instagram.com/thechlobro
twitch: https://www.twitch.tv/colorsofchloe ⬅ I stream coworking sessions every week!
twitter: https://twitter.com/colorsofchloe
tiktok: https://www.tiktok.com/@colorsofchloe

business inquiries → business@colorsofchloe.com

all opinions are my own and don't reflect my employers.
",47100,1688013,64,UUC5zwcadCvNiNm5JCe7hjAQ
